M,0,50,1
M,295,50,1

C,0,70,1
C,0,80,1
M,25,70,2
M,270,70,2
C,295,70,1
C,295,80,1

M,0,90,2
C,25,90,1
C,25,100,1
M,50,90,3
M,245,90,3
C,270,90,1
C,270,100,1
M,295,90,2

G,0,110,5
C,50,110,1
C,50,120,1
M,75,110,4
M,220,110,4
C,245,110,1
C,245,120,1
G,270,110,5

M,0,130,2
C,25,130,1
C,25,140,1
M,50,130,3
M,245,130,3
C,270,130,1
C,270,140,1
M,295,130,2

C,0,150,1
C,0,160,1
M,25,150,2
M,270,150,2
C,295,150,1
C,295,160,1

M,0,170,1
M,295,170,1

G,135,110,5
C,148,100,3
C,148,130,3
C,135,90,2
C,160,90,2
C,135,140,2
C,160,140,2
C,148,80,1
C,148,150,1
