M,0,50,1
M,0,70,1

M,0,150,1
M,0,170,1

M,295,50,1
M,295,70,1

M,295,150,1
M,295,170,1

M,100,50,2
M,100,70,3
C,100,90,1
C,100,100,1
C,100,110,1
C,100,120,1
C,100,130,1
C,100,140,1
G,100,150,3
G,100,170,2

G,125,50,3
C,125,70,1
C,125,80,1
M,125,90,4
C,125,110,1
C,125,120,1
C,125,130,1
C,125,140,1

C,150,70,1
C,150,80,1
C,150,90,1
C,150,100,1
M,150,110,5
C,150,130,1
C,150,140,1
C,150,150,1
C,150,160,1
G,150,170,3

G,175,50,2
G,175,70,3
C,175,90,1
C,175,100,1
C,175,110,1
C,175,120,1
M,175,130,4
C,175,150,1
C,175,160,1

C,200,90,1
C,200,100,1
C,200,110,1
C,200,120,1
C,200,130,1
C,200,140,1
M,200,150,3
M,200,170,2
