G,35,45,1
G,85,45,2
G,135,45,5
G,185,45,2
G,235,45,1
M,60,65,1
M,85,65,1
M,110,65,2
M,135,65,3
M,160,65,3
M,185,65,2
M,210,65,1
M,235,65,1
C,85,85,1
C,110,85,1
C,135,85,1
C,160,85,1
C,185,85,1
C,210,85,1
C,110,95,2
C,135,95,2
C,160,95,2
C,185,95,2
C,135,105,3
C,160,105,3

C,148,115,5

C,135,125,3
C,160,125,3
C,110,135,2
C,135,135,2
C,160,135,2
C,185,135,2
C,85,145,1
C,110,145,1
C,135,145,1
C,160,145,1
C,185,145,1
C,210,145,1
M,60,155,1
M,85,155,1
M,110,155,2
M,135,155,3
M,160,155,3
M,185,155,2
M,210,155,1
M,235,155,1
G,35,175,1
G,85,175,2
G,135,175,5
G,185,175,2
G,235,175,1
